Item Name,Item Category,Location Description,Specific Location Details,Return Policy
Smartphone,Electronics,Electronics Section,Next to the entrance,Can be returned within 30 days with original packaging and receipt
Laptop,Electronics,Electronics Section,Aisle 3,Can be returned within 14 days with original packaging and receipt
T-shirt,Apparel,Clothing Section,Rack 5,Can be returned within 30 days with tags attached and original receipt
Running Shoes,Footwear,Shoe Department,Near the escalator,Can be returned within 30 days if unworn and with original packaging
Headphones,Electronics,Electronics Section,Aisle 2,Can be returned within 30 days with original packaging and receipt
Leather Jacket,Apparel,Clothing Section,Rack 8,Can be returned within 14 days with tags attached and original receipt
Perfume,Fragrance,Beauty Section,Next to the checkout counter,Can be returned within 14 days if unopened and with original packaging
Watch,Jewelry & Watches,Jewelry Section,Display Case 2,Can be returned within 30 days with tags attached and original receipt
Designer Handbag,Accessories,Accessories Section,Aisle 6,Can be returned within 30 days with tags attached and original receipt
Sunglasses,Eyewear,Eyewear Section,Display Case 1,Can be returned within 14 days with tags attached and original receipt
Couch,Home Furniture,Furniture Department,Showroom Area,Can be returned within 30 days with original packaging and receipt
Television,Electronics,Electronics Section,Aisle 4,Can be returned within 30 days with original packaging and receipt
Dress,Apparel,Clothing Section,Rack 10,Can be returned within 30 days with tags attached and original receipt
Bedding Set,Home Decor,Home & Decor Section,Bedding Department,Can be returned within 30 days with original packaging and receipt
Gaming Console,Electronics,Electronics Section,Aisle 5,Can be returned within 30 days with original packaging and receipt
Handbag,Accessories,Accessories Section,Aisle 7,Can be returned within 30 days with tags attached and original receipt
Dumbbells,Fitness Equipment,Sporting Goods Section,Weightlifting Area,Can be returned within 14 days with original packaging and receipt
Earbuds,Electronics,Electronics Section,Aisle 1,Can be returned within 14 days with original packaging and receipt
Backpack,Bags & Luggage,Travel Section,Aisle 9,Can be returned within 30 days with tags attached and original receipt
Hair Dryer,Beauty,Beauty Section,Aisle 3,Can be returned within 30 days with original packaging and receipt
Guitar,Musical Instruments,Musical Instruments Section,Showroom Area,Can be returned within 30 days with original packaging and receipt
Hand Cream,Beauty,Beauty Section,Aisle 4,Can be returned within 14 days if unopened and with original packaging
Picture Frame,Home Decor,Home & Decor Section,Wall Decor Area,Can be returned within 30 days with original packaging and receipt
Desk Lamp,Home Decor,Home & Decor Section,Lighting Department,Can be returned within 30 days with original packaging and receipt
Candle Holder,Home Decor,Home & Decor Section,Decorative Accents Area,Can be returned within 30 days with original packaging and receipt
Smart Speaker,Electronics,Electronics Section,Aisle 8,Can be returned within 30 days with original packaging and receipt
Cookware Set,Kitchenware,Kitchen & Dining Section,Cooking Utensils Area,Can be returned within 30 days with original packaging and receipt
Board Shorts,Apparel,Swimwear Section,Rack 7,Can be returned within 30 days with tags attached and original receipt
Dining Table,Home Furniture,Furniture Department,Showroom Area,Can be returned within 30 days with original packaging and receipt
Yoga Mat,Fitness Equipment,Sporting Goods Section,Yoga Area,Can be returned within 14 days with original packaging and receipt
Luggage Set,Bags & Luggage,Travel Section,Aisle 10,Can be returned within 30 days with tags attached and original receipt
